Date;Time;League;Home;Away;Odd_Under05_HT_Back;Odd_Under05_HT_Lay;Odd_Over05_HT_Back;Odd_Over05_HT_Lay;Odd_Under15_HT_Back;Odd_Under15_HT_Lay;Odd_Over15_HT_Back;Odd_Over15_HT_Lay;Odd_Under25_HT_Back;Odd_Under25_HT_Lay;Odd_Over25_HT_Back;Odd_Over25_HT_Lay;Odd_H_Back;Odd_H_Lay;Odd_A_Back;Odd_A_Lay;Odd_D_Back;Odd_D_Lay;Odd_1X_Back;Odd_1X_Lay;Odd_X2_Back;Odd_X2_Lay;Odd_12_Back;Odd_12_Lay;Odd_Under05_FT_Back;Odd_Under05_FT_Lay;Odd_Over05_FT_Back;Odd_Over05_FT_Lay;Odd_Under15_FT_Back;Odd_Under15_FT_Lay;Odd_Over15_FT_Back;Odd_Over15_FT_Lay;Odd_Under25_FT_Back;Odd_Under25_FT_Lay;Odd_Over25_FT_Back;Odd_Over25_FT_Lay;Odd_Under35_FT_Back;Odd_Under35_FT_Lay;Odd_Over35_FT_Back;Odd_Over35_FT_Lay;Odd_Under45_FT_Back;Odd_Under45_FT_Lay;Odd_Over45_FT_Back;Odd_Over45_FT_Lay;Odd_BTTS_Yes_Back;Odd_BTTS_Yes_Lay;Odd_BTTS_No_Back;Odd_BTTS_No_Lay;Odd_CS_0x0_Back;Odd_CS_0x0_Lay;Odd_CS_0x1_Back;Odd_CS_0x1_Lay;Odd_CS_0x2_Back;Odd_CS_0x2_Lay;Odd_CS_0x3_Back;Odd_CS_0x3_Lay;Odd_CS_1x0_Back;Odd_CS_1x0_Lay;Odd_CS_1x1_Back;Odd_CS_1x1_Lay;Odd_CS_1x2_Back;Odd_CS_1x2_Lay;Odd_CS_1x3_Back;Odd_CS_1x3_Lay;Odd_CS_2x0_Back;Odd_CS_2x0_Lay;Odd_CS_2x1_Back;Odd_CS_2x1_Lay;Odd_CS_2x2_Back;Odd_CS_2x2_Lay;Odd_CS_2x3_Back;Odd_CS_2x3_Lay;Odd_CS_3x0_Back;Odd_CS_3x0_Lay;Odd_CS_3x1_Back;Odd_CS_3x1_Lay;Odd_CS_3x2_Back;Odd_CS_3x2_Lay;Odd_CS_3x3_Back;Odd_CS_3x3_Lay;Odd_CS_Goleada_H_Back;Odd_CS_Goleada_H_Lay;Odd_CS_Goleada_A_Back;Odd_CS_Goleada_A_Lay;Odd_CS_Goleada_D_Back;Odd_CS_Goleada_D_Lay
2026-03-09;00:06:00;Mexican Liga MX;Tijuana;Santos Laguna;3.55;4.5;1.29;1.39;1.67;1.77;2.3;2.5;1.16;1.26;4.9;7.2;1.64;1.73;5.0;5.6;4.4;4.9;1.21;1.25;2.38;2.58;1.25;1.3;1.01;55.0;1.03;1.06;5.5;6.2;1.19;1.23;2.54;2.76;1.56;1.65;1.62;1.7;2.42;2.62;1.26;1.3;4.4;4.9;1.55;1.86;2.34;2.52;21.0;29.0;21.0;29.0;38.0;55.0;5.0;130.0;10.5;14.0;9.6;12.5;16.5;24.0;4.8;70.0;11.0;14.5;9.2;12.0;15.5;21.0;4.8;65.0;15.0;20.0;14.0;18.5;19.0;32.0;4.9;85.0;5.5;8.0;4.7;55.0;5.2;600.0
2026-03-09;10:30:00;Bulgarian A League;Montana;Ludogorets;3.25;4.9;1.26;1.45;1.57;1.7;2.44;2.76;1.13;1.23;5.3;8.4;19.0;27.0;1.22;1.26;6.0;8.8;4.8;5.7;1.04;1.06;1.14;1.19;15.0;110.0;1.04;1.07;3.9;5.4;1.23;1.29;2.14;2.46;1.68;1.82;1.48;1.58;2.46;3.1;1.19;1.24;4.5;6.6;2.52;2.86;1.54;1.65;1.54;1000.0;4.6;1000.0;4.2;1000.0;4.7;1000.0;8.8;1000.0;1.41;1000.0;3.4;1000.0;1.54;1000.0;1.27;1000.0;1.51;1000.0;8.8;1000.0;1.35;1000.0;1.28;1000.0;1.27;1000.0;1.27;1000.0;1.27;1000.0;1.27;1000.0;3.55;1000.0;1.28;1000.0
2026-03-09;10:30:00;Bulgarian B League;CSKA Sofia II;Pirin Blagoevgrad;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.02;1000.0;1.02;1000.0;1.02;420.0;1.01;110.0;1.01;110.0;1.01;110.0;1.24;1000.0;1.01;6.0;1.24;1000.0;1.01;6.0;1.24;1000.0;1.01;6.4;1.18;110.0;1.01;7.8;1.06;110.0;1.02;26.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0
2026-03-09;10:30:00;Indonesian Super League;Persib Bandung;Persik Kediri;3.1;3.95;1.34;1.47;1.45;1.7;2.44;3.2;1.12;1.2;6.0;9.0;1.25;1.36;12.0;18.0;5.5;7.2;1.05;1.09;3.75;5.0;1.16;1.23;13.5;21.0;1.06;1.08;3.75;5.2;1.23;1.37;2.08;2.3;1.78;1.93;1.42;1.5;3.0;3.4;1.16;1.23;5.4;7.4;2.16;2.56;1.64;1.86;14.0;22.0;1.01;44.0;1.01;1000.0;1.01;1000.0;5.9;8.6;10.0;15.5;1.01;65.0;1.01;1000.0;5.7;8.2;8.6;13.0;1.01;44.0;1.01;1000.0;7.6;11.5;12.0;18.5;1.01;60.0;1.01;1000.0;4.6;6.6;1.01;1000.0;1.01;1000.0
2026-03-09;10:30:00;Indonesian Super League;PSBS Biak Numfor;Semen Padang;2.74;4.3;1.31;1.57;1.35;1.64;2.56;3.9;1.01;1000.0;1.01;1000.0;2.58;2.98;2.6;3.35;2.96;3.9;1.01;1.64;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;3.2;5.4;1.23;1.45;1.91;2.3;1.86;2.28;1.18;970.0;1.01;7.4;1.11;1.23;5.3;10.5;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0
2026-03-09;12:00:00;Romanian Liga II;ASA Targu Mures;Chindia Targoviste;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.04;1000.0;1.04;1000.0;1.04;110.0;1.01;36.0;1.01;36.0;1.01;110.0;1.01;1000.0;1.01;110.0;1.25;110.0;1.02;110.0;1.24;1000.0;1.38;6.0;1.15;110.0;1.38;8.8;1.05;110.0;1.38;110.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0
2026-03-09;13:00:00;Bulgarian A League;PFC Levski Sofia;Lokomotiv Plovdiv;1.01;110.0;1.01;110.0;1.01;110.0;1.01;110.0;1.01;1000.0;1.01;1000.0;1.33;1.36;15.0;21.0;5.0;5.6;1.05;1.08;3.75;4.1;1.22;1.25;10.5;15.5;1.07;1.11;3.5;4.0;1.33;1.4;1.87;2.04;1.97;2.16;1.33;1.39;3.55;4.1;1.12;1.15;7.6;9.4;2.6;2.94;1.52;1.62;12.5;15.0;5.7;38.0;6.4;200.0;6.8;1000.0;5.7;7.6;11.0;13.5;6.0;65.0;6.6;500.0;5.8;7.8;10.0;12.0;6.0;55.0;6.6;380.0;8.4;9.8;15.0;970.0;6.0;65.0;6.6;440.0;6.0;8.2;6.6;1000.0;6.6;1000.0
2026-03-09;13:00:00;Greek Super League;Panaitolikos;Kifisia;1.01;110.0;1.51;110.0;1.33;110.0;1.01;110.0;1.06;1.13;8.6;18.0;2.44;2.72;3.25;3.65;2.98;3.4;1.38;1.45;1.58;1.7;1.41;1.51;7.4;11.0;1.1;1.14;2.76;3.2;1.46;1.57;1.59;1.72;2.38;2.7;1.22;1.27;4.7;5.6;1.07;1.1;10.0;15.5;1.96;2.18;1.84;2.04;5.0;970.0;5.1;970.0;7.0;23.0;2.1;80.0;7.2;970.0;6.2;970.0;6.0;970.0;4.3;50.0;6.2;970.0;5.7;970.0;7.0;22.0;2.18;90.0;4.2;42.0;8.0;36.0;4.3;60.0;2.14;180.0;8.0;38.0;2.76;65.0;1.6;1000.0
2026-03-09;13:30:00;Slovenian Premier League;NK Radomlje;NK Bravo;3.35;3.9;1.35;1.43;1.52;1.63;2.6;2.94;1.11;1.21;5.7;9.4;3.1;3.45;2.24;2.44;3.55;4.4;1.69;1.81;1.4;1.48;1.3;1.4;12.5;21.0;1.05;1.09;4.2;4.9;1.26;1.31;2.38;2.5;1.67;1.72;1.44;1.52;2.92;3.3;1.17;1.25;5.0;7.0;1.01;1000.0;1.01;1000.0;13.0;22.0;10.0;14.5;14.0;19.5;3.85;38.0;10.5;18.0;6.4;10.5;8.4;14.0;17.0;29.0;17.5;29.0;10.0;17.0;11.5;19.5;3.9;42.0;4.0;70.0;3.9;42.0;3.95;50.0;4.1;90.0;20.0;34.0;11.5;19.0;4.3;1000.0
2026-03-09;14:00:00;Polish I Liga;Polonia Warszawa;LKS Lodz;1.01;1000.0;1.01;1000.0;1.38;1.7;2.42;3.65;1.01;1000.0;1.01;1000.0;1.95;2.56;2.84;4.7;3.2;13.5;1.27;1.55;1.64;2.06;1.15;1.45;1.01;110.0;1.01;2.18;1.84;100.0;1.26;2.2;1.84;2.44;1.69;2.2;1.18;2.44;1.69;7.4;1.12;1.26;4.8;9.4;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0;1.01;1000.0
